,Date,Open*,High,Low,Close**,Volume,Market Cap,price
0,2013-04-28,135.3,135.98,132.1,134.21,,1500519936,135.3
1,2013-04-29,134.44,147.49,134.0,144.54,,1491160064,134.44
2,2013-04-30,144.0,146.93,134.05,139.0,,1597779968,144.0
3,2013-05-01,139.0,139.89,107.72,116.99,,1542819968,139.0
4,2013-05-02,116.38,125.6,92.28,105.21,,1292189952,116.38
5,2013-05-03,106.25,108.13,79.1,97.75,,1180070016,106.25
6,2013-05-04,98.1,115.0,92.5,112.5,,1089890048,98.1
7,2013-05-05,112.9,118.8,107.14,115.91,,1254759936,112.9
8,2013-05-06,115.98,124.66,106.64,112.3,,1289469952,115.98
9,2013-05-07,112.25,113.44,97.7,111.5,,1248470016,112.25
10,2013-05-08,109.6,115.78,109.6,113.57,,1219449984,109.6
11,2013-05-09,113.2,113.46,109.26,112.67,,1259980032,113.2
12,2013-05-10,112.8,122.0,111.55,117.2,,1255970048,112.8
13,2013-05-11,117.7,118.68,113.01,115.24,,1311049984,117.7
14,2013-05-12,115.64,117.45,113.43,115.0,,1288630016,115.64
15,2013-05-13,114.82,118.7,114.5,117.98,,1279980032,114.82
16,2013-05-14,117.98,119.8,110.25,111.5,,1315719936,117.98
17,2013-05-15,111.4,115.81,103.5,114.22,,1242759936,111.4
18,2013-05-16,114.22,118.76,112.2,118.76,,1274620032,114.22
19,2013-05-17,118.21,125.3,116.57,123.01,,1319590016,118.21
20,2013-05-18,123.5,125.25,122.3,123.5,,1379139968,123.5
21,2013-05-19,123.21,124.5,119.57,121.99,,1376370048,123.21
22,2013-05-20,122.5,123.62,120.12,122.0,,1368909952,122.5
23,2013-05-21,122.02,123.0,121.21,122.88,,1363939968,122.02
24,2013-05-22,122.89,124.0,122.0,123.89,,1374130048,122.89
25,2013-05-23,123.8,126.93,123.1,126.7,,1384780032,123.8
26,2013-05-24,126.3,133.85,125.72,133.2,,1413299968,126.3
27,2013-05-25,133.1,133.22,128.9,131.98,,1489949952,133.1
28,2013-05-26,131.99,136.0,130.62,133.48,,1478029952,131.99
29,2013-05-27,133.5,135.46,124.7,129.74,,1495520000,133.5
30,2013-05-28,129.77,130.58,125.6,129.0,,1454310016,129.77
31,2013-05-29,129.0,132.59,127.66,132.3,,1446189952,129.0
32,2013-05-30,132.25,132.25,127.0,128.8,,1483180032,132.25
33,2013-05-31,128.8,129.9,126.4,129.0,,1445049984,128.8
34,2013-06-01,128.82,129.78,127.2,129.3,,1445799936,128.82
35,2013-06-02,129.3,129.4,115.05,122.29,,1451929984,129.3
36,2013-06-03,122.5,122.5,116.0,122.22,,1376179968,122.5
37,2013-06-04,120.74,123.84,119.1,121.42,,1357020032,120.74
38,2013-06-05,121.4,123.47,119.9,121.65,,1365110016,121.4
39,2013-06-06,121.9,123.1,117.25,118.0,,1371299968,121.9
40,2013-06-07,118.97,119.0,106.42,111.5,,1338880000,118.97
41,2013-06-08,111.0,111.42,107.3,108.3,,1249629952,111.0
42,2013-06-09,107.89,108.99,88.5,100.0,,1215129984,107.89
43,2013-06-10,100.44,110.1,95.0,106.35,,1131570048,100.44
44,2013-06-11,106.35,109.6,104.0,108.9,,1198640000,106.35
45,2013-06-12,109.0,111.79,106.73,108.15,,1228999936,109.0
46,2013-06-13,108.78,110.3,100.53,104.0,,1227030016,108.78
47,2013-06-14,103.95,104.7,98.0,99.98,,1173059968,103.95
48,2013-06-15,100.0,103.7,98.0,99.99,,1128950016,100.0
49,2013-06-16,99.8,101.6,98.95,99.51,,1127120000,99.8
50,2013-06-17,99.9,102.21,99.0,101.7,,1128720000,99.9
51,2013-06-18,101.95,111.11,101.03,107.4,,1152249984,101.95
52,2013-06-19,107.05,110.22,105.75,108.25,,1210259968,107.05
53,2013-06-20,108.25,114.3,107.5,110.15,,1224210048,108.25
54,2013-06-21,111.29,114.99,107.68,109.5,,1259000064,111.29
55,2013-06-22,109.5,109.96,107.51,108.3,,1239209984,109.5
56,2013-06-23,108.2,108.8,106.23,107.6,,1224979968,108.2
57,2013-06-24,107.9,108.33,100.98,102.74,,1222029952,107.9
58,2013-06-25,102.09,106.47,101.01,103.95,,1156610048,102.09
59,2013-06-26,103.33,105.49,102.79,104.0,,1171049984,103.33
60,2013-06-27,104.0,104.0,101.1,101.44,,1179110016,104.0
61,2013-06-28,101.74,101.74,92.33,94.65,,1153880064,101.74
62,2013-06-29,94.66,99.99,93.0,94.99,,1074009984,94.66
63,2013-06-30,95.0,98.12,94.22,96.61,,1078259968,95.0
64,2013-07-01,97.51,97.66,86.3,88.05,,1107129984,97.51
65,2013-07-02,88.05,92.3,87.51,90.13,,1000070016,88.05
66,2013-07-03,90.4,90.98,76.98,77.53,,1027160000,90.4
67,2013-07-04,78.89,83.11,72.0,80.53,,896692992,78.89
68,2013-07-05,79.99,80.0,65.53,68.43,,909526016,79.99
69,2013-07-06,68.5,75.0,66.82,70.28,,779254976,68.5
70,2013-07-07,68.75,74.56,66.62,74.56,,782352000,68.75
71,2013-07-08,76.5,80.0,72.6,76.52,,870912000,76.5
72,2013-07-09,76.0,78.3,72.52,76.69,,865585024,76.0
73,2013-07-10,76.72,87.0,76.2,86.76,,874137984,76.72
74,2013-07-11,88.0,90.28,85.08,88.98,,1003089984,88.0
75,2013-07-12,88.98,104.0,88.17,93.59,,1014640000,88.98
76,2013-07-13,93.99,98.25,88.06,98.13,,1072140032,93.99
77,2013-07-14,98.7,98.7,92.86,94.69,,1126259968,98.7
78,2013-07-15,93.61,101.9,93.11,98.4,,1068520000,93.61
79,2013-07-16,98.89,99.86,96.14,97.45,,1129260032,98.89
80,2013-07-17,96.71,99.97,96.18,98.5,,1104760064,96.71
81,2013-07-18,98.5,98.8,86.2,90.58,,1125660032,98.5
