;datetime;id;status;activity;merit;post
0;2018-07-29 18:27:53;achow101;Staff;1512;1599;"Bitcoin Core version 0.16.2 is now available from:

  <https://bitcoincore.org/bin/bitcoin-core-0.16.2/>

This is a new minor version release, with various bugfixes
as well as updated translations.

Please report bugs using the issue tracker at GitHub:

  <https://github.com/bitcoin/bitcoin/issues>

To receive security and update notifications, please subscribe to:

  <https://bitcoincore.org/en/list/announcements/join/>

How to Upgrade
==============

If you are running an older version, shut it down. Wait until it has completely
shut down (which might take a few minutes for older versions), then run the
installer (on Windows) or just copy over `/Applications/Bitcoin-Qt` (on Mac)
or `bitcoind`/`bitcoin-qt` (on Linux).

The first time you run version 0.15.0 or newer, your chainstate database will be converted to a
new format, which will take anywhere from a few minutes to half an hour,
depending on the speed of your machine.

Note that the block database format also changed in version 0.8.0 and there is no
automatic upgrade code from before version 0.8 to version 0.15.0 or higher. Upgrading
directly from 0.7.x and earlier without re-downloading the blockchain is not supported.
However, as usual, old wallet versions are still supported.

Downgrading warning
-------------------

Wallets created in 0.16 and later are not compatible with versions prior to 0.16
and will not work if you try to use newly created wallets in older versions. Existing
wallets that were created with older versions are not affected by this.

Compatibility
==============

Bitcoin Core is extensively tested on multiple operating systems using
the Linux kernel, macOS 10.8+, and Windows Vista and later. Windows XP is not supported.

Bitcoin Core should also work on most other Unix-like systems but is not
frequently tested on them.

0.16.2 change log
------------------

### Wallet
- #13622 `c04a4a5` Remove mapRequest tracking that just effects Qt display. (TheBlueMatt)
- #12905 `cfc6f74` [rpcwallet] Clamp walletpassphrase value at 100M seconds (sdaftuar)
- #13437 `ed82e71` wallet: Erase wtxOrderd wtx pointer on removeprunedfunds (MarcoFalke)

### RPC and other APIs
- #13451 `cbd2f70` rpc: expose CBlockIndex::nTx in getblock(header) (instagibbs)
- #13507 `f7401c8` RPC: Fix parameter count check for importpubkey (kristapsk)
- #13452 `6b9dc8c` rpc: have verifytxoutproof check the number of txns in proof structure (instagibbs)
- #12837 `bf1f150` rpc: fix type mistmatch in `listreceivedbyaddress` (joemphilips)
- #12743 `657dfc5` Fix csBestBlock/cvBlockChange waiting in rpc/mining (sipa)

### GUI
- #12432 `f78e7f6` [qt] send: Clear All also resets coin control options (Sjors)
- #12617 `21dd512` gui: Show messages as text not html (laanwj)
- #12793 `cf6feb7` qt: Avoid reseting on resetguisettigs=0 (MarcoFalke)

### Build system
- #13544 `9fd3e00` depends: Update Qt download url (fanquake)
- #12573 `88d1a64` Fix compilation when compiler do not support `__builtin_clz*` (532479301)

### Tests and QA
- #13061 `170b309` Make tests pass after 2020 (bmwiedemann)
- #13192 `79c4fff` [tests] Fixed intermittent failure in `p2p_sendheaders.py` (lmanners)
- #13300 `d9c5630` qa: Initialize lockstack to prevent null pointer deref (MarcoFalke)
- #13545 `e15e3a9` tests: Fix test case `streams_serializedata_xor` Remove Boost dependency. (practicalswift)
- #13304 `cbdabef` qa: Fix `wallet_listreceivedby` race (MarcoFalke)

### Miscellaneous
- #12887 `2291774` Add newlines to end of log messages (jnewbery)
- #12859 `18b0c69` Bugfix: Include <memory> for `std::unique_ptr` (luke-jr)
- #13131 `ce8aa54` Add Windows shutdown handler (ken2812221)
- #13652 `20461fc` rpc: Fix that CWallet::AbandonTransaction would leave the grandchildren, etc. active (Empact)

Credits
=======

Thanks to everyone who directly contributed to this release:

- 532479301
- Ben Woosley
- Bernhard M. Wiedemann
- Chun Kuan Lee
- Cory Fields
- fanquake
- Gregory Sanders
- joemphilips
- John Newbery
- Kristaps Kaupe
- lmanners
- Luke Dashjr
- MarcoFalke
- Matt Corallo
- Pieter Wuille
- practicalswift
- Sjors Provoost
- Suhas Daftuar
- Wladimir J. van der Laan

And to those that reported security issues:

- Braydon Fuller
- Himanshu Mehta

As well as everyone that helped translating on [Transifex](https://www.transifex.com/projects/p/bitcoin/).


Note this thread will be self-moderated to keep out the spam that usually appears in these release announcement threads. (I forgot to do this on the original thread)"
1;2018-07-29 18:29:30;btj;Member;98;13;Please update forum news aswell !
2;2018-07-30 10:18:38;aliitp;Jr. Member;86;0;How to view my private key and secret phrase using bitcoin core ?...
3;2018-07-30 15:20:27;OmegaStarScream;Staff;1414;1101;"Quote from: aliitp on July 30, 2018, 10:18:38 AM
How to view my private key and secret phrase using bitcoin core ?...

Go to the console and type the following:

Code:
walletpassphrase ""your wallet passphrase"" 600
dumpprivkey [your bitcoin address]

If you don't have a password set, you can proceed to the second command directly."
4;2018-08-06 11:02:02;OmegaStarScream;Staff;1414;1101;"Quote from: badboy9 on August 06, 2018, 10:55:55 AM
why every time change bitcoin core btc address..?

You control all the address that are generated, the address change each time you have an upcoming transaction for your privacy."
5;2018-08-29 20:14:10;cryptorelax;Jr. Member;56;0;is that a cold storage wallet? How long is the blockchain synchronization going on?
6;2018-08-30 09:06:43;BitCryptex;Sr. Member;322;278;"Quote from: cryptorelax on August 29, 2018, 08:14:10 PM
is that a cold storage wallet? How long is the blockchain synchronization going on?

The initial synchronization usually takes about 3 days. It depends on the number of connections to other nodes and your computer processing power (each block must be verified). Bitcoin Core is a software wallet which is a great choice if you don't want to buy a hardware wallet or use a paper wallet which is less convenient. Electrum is a popular alternative since you don't have to synchronize with the whole network. However, you have to depend on an external server in that case."
7;2016-10-15 10:51:58;hilariousandco;Lamborghini Member;1778;1315;"Low value topics that do not encourage constructive discussion do not belong in Bitcoin Discussion. Threads not directly about news or developments within the Bitcoin ecosystem such as the following all now belong in Off Topic:

If i give you 10 BTC what will you do?
In 20 years, what would you like to do with your bitcoin?
If bitcoin dropped to $1, what you do?
What is your plan to get rich with Bitcoin?
Would it be impossible to make 14BTC by the end of the year?
if you rewarded 1btc

Please do not create any more threads asking what you will do with 1,2,10,100 bitcoins etc. Any threads that are deemed largely unimportant or unsubstantial in nature by Staff will either moved to Off Topic or trashed. Please report any threads you believe to be unsubstantial or don't meet the above criteria. Thanks."
8;2018-08-28 11:24:12;RNS-SOL;Jr. Member;38;0;is it possible for bitcoin to change its form. Can it ever be in the form currency notes?
9;2018-08-28 11:30:22;saaux;Jr. Member;196;0;what form do you want to specify? bitcoin is a kind of coin that can be converted into different currencies of his country, so what you want to change here is the ethereum example it is also a coin that is contained in the crypto but it is also used as a wallet. Is that what you want to happen before the bitcoin. Do you have a wallet?
